patient_id,nombre,apellido,genero,fecha_nacimiento,tipo_sangre,lat,lng,comuna,barrio,direccion,telefono,email,documento,ips_asignada,condicion_preexistente,fhir_patient_id
pat-0800,María,Rodríguez,female,1986-02-04,B+,3.475647,-76.512736,6,Santa Isabel,Avenida Martha Angie Castillo Barreto # 75-26,57 609 961 07 79,maría.rodríguez800@gmail.com,66268745,ips-nor-011,asma,Patient/pat-0800
pat-2240,Jeferson,García,male,1958-11-05,O-,3.400631,-76.54609,14,El Rodeo,Carrera 15 # 7-4 Sur,300 738 57 79,jeferson.garcía2240@gmail.com,29154679,ips-sur-016,ninguna,Patient/pat-2240
pat-0777,Aldemar,Ríos,male,1971-11-03,A-,3.454454,-76.524899,6,Santa Isabel,Av. Maceo # 7L-27 Sur,3099514718,aldemar.ríos777@gmail.com,30858851,ips-nor-011,diabetes tipo 2,Patient/pat-0777
pat-0804,Jorge,García,male,1955-12-22,O-,3.488183,-76.507398,6,Santa Isabel,Calle 90 # 71-1 Sur,8458962,jorge.garcía804@gmail.com,90143600,ips-nor-011,asma,Patient/pat-0804
pat-2909,Martha,Osorio,female,2001-04-16,AB+,3.441402,-76.531142,19,El Calvario,Av. Rojas # 40-6,573233122186,martha.osorio2909@gmail.com,94668837,ips-huc-001,cardiopatía,Patient/pat-2909
pat-3208,Rosa,Escobar,female,2010-02-08,B-,3.486343,-76.559934,20,Marroquín,Calle 46S # 3M-92 Este,576024029689,rosa.escobar3208@gmail.com,51514655,ips-pie-026,asma,Patient/pat-3208
pat-1232,Nelly,Murillo,female,2015-01-05,AB+,3.429544,-76.543556,9,Los Libertadores,Cr. 182 # 3-2 Sur,6033827228,nelly.murillo1232@gmail.com,19581091,ips-sjs-004,ninguna,Patient/pat-1232
pat-2749,Eliana,Martínez,female,1958-05-01,O-,3.421877,-76.57114,18,Cañaveralejo,Cr. 89 # 5F-68 Sur,+573155756873,eliana.martínez2749@gmail.com,67400784,ips-vip-039,cardiopatía,Patient/pat-2749
pat-1848,Stella,Rivera,female,1979-12-11,B+,3.412525,-76.539596,13,Agua Blanca,Carrera 1G # 57-40,603 252 70 44,stella.rivera1848@gmail.com,72697508,ips-elo-028,insuficiencia renal,Patient/pat-1848
pat-0039,Elena,Torres,female,1978-07-03,A-,3.484898,-76.490331,1,El Oriente,Cr. 78 # 43-8 Sur,6097239095,elena.torres39@gmail.com,79008866,ips-alb-024,asma,Patient/pat-0039
pat-2662,Andrea,Bautista,female,1984-04-25,AB-,3.417393,-76.547507,18,Cañaveralejo,Cl. 105 # 9L-7,+57 313 106 22 87,andrea.bautista2662@gmail.com,96046600,ips-vip-039,diabetes tipo 2,Patient/pat-2662
pat-2823,Rolando,Herrera,male,2023-11-18,A+,3.421188,-76.511252,18,Cañaveralejo,Cl. 192 # 4-3 Este,+57 309 030 83 92,rolando.herrera2823@gmail.com,17429830,ips-vip-039,hipertensión,Patient/pat-2823
pat-0975,Cecilia,Rincón,female,1999-05-10,O-,3.463233,-76.536256,7,Alcázares,Calle 30Y # 9-6,3102898311,cecilia.rincón975@gmail.com,42331952,ips-pie-026,artritis,Patient/pat-0975
pat-1549,Mónica,Morales,female,1978-02-19,AB-,3.408155,-76.534148,10,Caney,Av. Morelia # 83-6,573007581588,mónica.morales1549@gmail.com,81664219,ips-las-015,cardiopatía,Patient/pat-1549
pat-1266,Emilia,Gamboa,female,2009-04-03,A+,3.43773,-76.523829,9,Los Libertadores,Tr. 4ª # 80-4 Sur,576065218344,emilia.gamboa1266@gmail.com,59171204,ips-sjs-004,asma,Patient/pat-1266
pat-1782,Leonardo,Giraldo,male,1988-10-07,O+,3.409962,-76.498085,13,Agua Blanca,Avenida carrera 3ª # 9-1 Este,57 324 976 73 65,leonardo.giraldo1782@gmail.com,47281925,ips-elo-028,ninguna,Patient/pat-1782
pat-1526,Liliana,Buitrago,female,1970-12-11,B+,3.406769,-76.548477,10,Caney,Cr. 77 # 16-7 Este,+576097004778,liliana.buitrago1526@gmail.com,19931717,ips-las-015,ninguna,Patient/pat-1526
pat-2473,Néstor,Páez,male,1977-09-12,A-,3.384598,-76.551111,16,El Jardín,Av. María Ortega Castellanos # 29-5,(+57)3260817203,néstor.páez2473@gmail.com,47824471,ips-sil-022,artritis,Patient/pat-2473
pat-1593,Mauricio,Montoya,male,1956-09-09,A+,3.431337,-76.537075,11,El Real,Cl. 40 # 64-86 Este,+573205983289,mauricio.montoya1593@gmail.com,47662052,ips-gua-029,EPOC,Patient/pat-1593
